node_name,code,type
Department of Statistics,374,BD
Altgeld Hall,382,BD
wrightjohn,,IS
sixthjohn,,IS
wrightdaniel,,IS
sixthdaniel,,IS
fifthdaniel,,IS
School of Information Science,493,BD
Illini Union Bookstore,343,BD
Henry Administration Building,334,BD
Speech and Hearing Clinic,482,BD
Psychology Building,716,BD
English Building,718,BD
Sherman Hall,490,BD
forthdaniel,,IS
wrightchalmers,,IS
sixthchalmers,,IS
fifthchalmers,,IS
forthchalmers,,IS
Lincoln Hall,454,BD
YMCA,409,BD
Police Training Institution,523,BD
Ice Arena,525,BD
Gregory Hall,466,BD
wrightarmory,,IS
sixtharmory,,IS
fiftharmory,,IS
fortharmory,,IS
Main Library,522,BD
Harding Band Building,524,BD
Armory,528,BD
sixthgregory,,IS
forthgregory,,IS
George Huff Hall,584,BD
College of Business,520,BD
Wohlers Hall,706,BD
